,Pick,Years,Games,Minutes,FieldGoal_pcent,ThreePoint_pcent,Freethrow_pcent,Minutes_pg,Points_pg,Rebounds_pg,Assists_pg,Winshares,Winshares_p48,Box_plusminus,Value_over_replacement
379,20,11,668,18889,0.444,0.379,0.799,28.3,14.0,2.7,2.6,30.8,0.078,-1.0,4.8
380,21,5,269,6532,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,-0.4,2.7
381,22,1,6,36,0.5,0.0,0.25,6.0,1.2,0.5,0.0,0.0,0.021,-7.6,-0.1
382,23,6,171,2183,0.441,0.367,0.847,12.8,5.0,1.5,0.8,3.0,0.065,-1.9,0.1
383,24,4,84,605,0.347,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,-5.7,-0.6
384,25,4,145,3076,0.413,0.231,0.647,21.2,11.1,2.5,3.0,-1.3,-0.021,-3.4,-1.1
385,26,7,346,5658,0.542,0.0,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.9,0.2
386,27,2,59,729,0.547,0.0,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-2.8,-0.1
387,28,3,143,1675,0.42,0.293,0.66,11.7,3.4,1.8,0.4,1.7,0.048,-3.5,-0.6
388,29,3,91,909,0.343,0.222,0.661,10.0,2.4,1.0,1.5,-0.9,-0.045,-6.5,-1.0
389,30,3,170,2394,0.513,0.0,0.557,14.1,4.2,4.3,0.4,5.9,0.119,-2.0,0.0
390,31,3,132,2566,0.409,0.319,0.665,19.4,6.1,2.0,0.8,1.3,0.024,-4.2,-1.5
391,32,6,388,8617,0.468,0.354,0.82,22.2,6.9,2.9,4.1,17.9,0.1,-0.9,2.4
392,33,3,92,761,0.497,0.0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.8,0.0
393,34,11,746,18767,0.418,0.347,0.778,25.2,9.5,4.3,1.6,40.9,0.105,0.3,11.0
394,35,11,747,21462,0.447,0.316,0.711,28.7,8.7,7.0,5.6,56.8,0.127,2.5,24.5
395,36,3,103,1112,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-2.4,-0.1
396,37,7,337,5392,0.444,0.35,0.759,16.0,4.9,3.5,0.6,8.7,0.078,-2.0,-0.1
397,38,3,69,934,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-3.9,-0.5
398,39,11,676,21277,0.457,0.39,0.881,31.5,17.0,4.8,3.8,52.1,0.117,0.7,14.7
399,40,11,669,16964,0.431,0.355,0.787,25.4,11.3,4.1,2.7,26.4,0.075,-0.4,6.9
400,41,2,61,491,0.354,0.36,0.684,8.0,2.9,0.5,0.9,-0.9,-0.088,-8.1,-0.8
