,Pick,Years,Games,Minutes,FieldGoal_pcent,ThreePoint_pcent,Freethrow_pcent,Minutes_pg,Points_pg,Rebounds_pg,Assists_pg,Winshares,Winshares_p48,Box_plusminus,Value_over_replacement
523,44,2,65,491,0.528,0.0,0.852,7.6,2.8,2.0,0.3,1.7,0.168,-1.0,0.1
524,45,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,46,1,1,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.009,-15.0,0.0
526,47,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,48,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,49,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
529,50,2,26,181,0.314,0.0,0.7,7.0,1.5,2.3,0.2,0.0,0.01,-4.4,-0.1
530,51,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,52,2,70,871,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.5,-0.3
532,53,1,3,21,0.333,0.0,1.0,7.0,2.3,1.0,0.7,0.0,-0.047,-6.0,0.0
533,54,1,19,134,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-2.7,0.0
534,55,7,250,2626,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,0.9,1.9
535,56,3,33,157,0.467,0.0,0.462,4.8,0.6,0.8,0.1,0.0,0.013,-7.3,-0.2
536,57,1,5,17,0.8,0.0,0.0,3.4,1.6,0.4,0.0,0.1,0.142,-2.0,0.0
537,58,1,41,215,0.485,0.0,0.739,5.2,2.0,1.0,0.2,0.3,0.057,-7.1,-0.3
538,59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,60,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,1,13,756,24270,0.493,0.328,0.696,32.1,19.2,8.0,4.0,80.7,0.16,3.3,32.7
541,2,5,224,2357,0.567,0.0,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-2.7,-0.4
542,3,14,993,34497,0.442,0.363,0.86,34.7,24.8,5.7,7.0,157.8,0.22,6.7,75.8
543,4,10,594,18242,0.44,0.323,0.757,30.7,15.7,4.6,4.8,28.4,0.075,0.8,13.1
544,5,12,688,20518,0.388,0.325,0.842,29.8,10.9,4.1,7.4,42.2,0.099,0.6,13.4
545,6,3,163,3738,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4.0,-1.9
546,7,14,870,29891,0.475,0.428,0.909,34.4,24.6,4.7,6.5,126.6,0.203,6.6,64.9
547,8,8,409,7692,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2.0,0.0
548,9,14,1019,35039,0.468,0.291,0.839,34.4,21.0,4.4,4.0,90.7,0.124,0.8,24.8
549,10,9,555,16844,0.387,0.345,0.796,30.3,14.1,3.0,5.7,29.9,0.085,0.8,11.8
550,11,4,153,2922,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-2.8,-0.6
551,12,8,535,13854,0.44,0.327,0.793,25.9,11.2,3.2,1.9,18.3,0.063,-1.8,0.6
552,13,7,428,7233,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2.0,0.0
553,14,6,261,3630,0.403,0.328,0.664,13.9,4.4,3.0,0.5,2.9,0.038,-2.8,-0.8
554,15,6,293,4132,0.402,0.351,0.778,14.1,5.2,2.6,0.7,4.5,0.053,-2.0,0.0
555,16,14,761,15439,0.474,0.302,0.679,20.3,7.6,3.5,2.1,27.5,0.086,0.4,9.4
556,17,14,896,29703,0.461,0.365,0.782,33.2,16.4,4.1,6.5,62.1,0.1,1.6,26.9
557,18,8,551,16088,0.46,0.359,0.77,29.2,12.7,2.7,6.0,42.1,0.126,1.4,13.6
558,19,12,826,22164,0.444,0.36,0.844,26.8,12.2,2.4,5.6,52.4,0.113,0.6,14.3
559,20,5,267,3896,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3,0.041,-2.9,-0.8
560,21,11,711,20833,0.471,0.394,0.853,29.3,12.5,2.7,5.0,49.9,0.115,0.5,13.4
561,22,3,80,1072,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2,0.011,-3.6,-0.4
562,23,10,588,11959,0.454,0.368,0.678,20.3,7.9,4.0,1.1,19.6,0.078,-0.8,3.5
563,24,5,189,3446,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008,-4.0,-1.8
564,25,4,182,2896,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8,0.079,-0.1,1.4
565,26,14,939,22388,0.518,0.253,0.712,23.8,8.8,5.9,1.0,59.7,0.128,-0.8,7.1
566,27,11,578,13675,0.43,0.358,0.741,23.7,8.9,4.2,1.3,29.5,0.104,0.0,6.7
567,28,13,770,16100,0.41,0.382,0.843,20.9,8.0,2.1,1.1,21.1,0.063,-1.5,2.1
568,29,8,394,7511,0.404,0.354,0.824,19.1,7.6,2.2,2.3,12.1,0.077,-0.8,2.2
569,30,2,51,1049,0.411,0.277,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02,-4.2,-0.6
570,31,6,237,2322,0.553,0.4,0.776,9.8,2.9,2.7,0.4,6.3,0.131,-2.3,-0.2
571,32,2,65,786,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2,0.014,-3.7,-0.3
572,33,10,715,14875,0.469,0.345,0.649,20.8,5.8,3.7,0.7,24.9,0.08,-1.7,1.1
573,34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,35,4,83,820,0.384,0.367,0.642,9.9,3.3,1.0,0.3,-0.1,-0.008,-5.8,-0.8
575,36,4,249,3966,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.1,-0.1
576,37,7,424,7054,0.524,0.0,0.608,16.6,6.8,5.1,0.8,19.0,0.129,-1.2,1.4
577,38,3,150,1570,0.488,0.0,0.618,10.5,2.1,3.1,0.3,3.7,0.113,-3.9,-0.8
578,39,9,635,11323,0.457,0.363,0.77,17.8,6.2,4.0,0.8,25.8,0.109,-1.0,2.9
579,40,3,171,2554,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085,-1.3,0.4
580,41,10,539,12110,0.42,0.373,0.879,22.5,9.3,2.1,1.1,24.3,0.096,-0.6,4.2
581,42,11,580,15881,0.413,0.375,0.754,27.4,8.6,4.2,3.4,36.8,0.111,0.9,11.6
582,43,8,483,11299,0.425,0.358,0.83,23.4,11.9,2.8,1.4,20.0,0.085,0.2,6.2
583,44,7,407,7998,0.43,0.352,0.797,19.7,7.9,3.0,1.2,13.9,0.083,-0.5,2.9
584,45,2,129,2011,0.441,0.288,0.581,15.6,4.6,1.9,2.7,2.6,0.063,-0.5,0.8
585,46,14,827,20827,0.421,0.4,0.805,25.2,8.7,3.4,1.5,49.1,0.113,1.9,20.2
586,47,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587,48,1,8,32,0.4,0.0,0.5,4.0,1.3,0.3,0.1,0.0,-0.039,-8.1,-0.1
588,49,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,50,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,51,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,52,6,261,3929,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,-1.3,0.7
592,53,2,119,1414,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081,-0.7,0.5
593,54,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,55,14,858,17528,0.426,0.389,0.856,20.4,9.0,1.7,2.3,35.8,0.098,0.0,9.0
595,56,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,57,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,58,4,57,594,0.375,0.277,0.806,10.4,4.7,1.4,1.2,0.2,0.016,-2.1,0.0
598,59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,60,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,1,14,699,21655,0.456,0.315,0.831,31.0,17.7,3.3,5.3,44.3,0.098,1.3,18.3
601,2,11,609,13903,0.465,0.349,0.759,22.8,12.4,4.7,1.3,15.6,0.054,-1.7,0.9
602,3,8,547,16919,0.429,0.373,0.82,30.9,13.8,3.1,2.9,21.8,0.062,-0.9,4.7
603,4,15,1082,37180,0.437,0.304,0.779,34.4,22.4,7.3,8.4,107.5,0.139,4.0,56.5
604,5,15,864,26144,0.439,0.371,0.83,30.3,17.1,10.4,2.3,90.9,0.167,3.3,34.8
605,6,13,728,21780,0.428,0.382,0.877,29.9,15.6,4.8,1.9,64.1,0.141,1.8,20.8
606,7,15,807,25953,0.429,0.37,0.81,32.2,16.1,2.4,2.8,38.1,0.07,-0.7,8.7
607,8,2,67,745,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03,-3.6,-0.3
608,9,14,976,22851,0.412,0.381,0.867,23.4,9.5,1.8,3.9,47.7,0.1,-0.7,7.6
609,10,15,936,28279,0.496,0.347,0.794,30.2,16.3,6.3,1.4,78.3,0.133,1.3,23.9
610,11,11,586,12486,0.411,0.361,0.818,21.3,8.4,2.1,2.9,18.6,0.072,-1.6,1.1
611,12,8,588,14819,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,-2.6,-2.4
612,13,9,481,10564,0.426,0.402,0.706,22.0,6.8,2.9,1.0,11.2,0.051,-1.4,1.6
613,14,6,252,3841,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,-1.6,0.4
614,15,15,973,20827,0.537,0.301,0.742,21.4,8.5,4.8,0.8,49.5,0.114,-1.1,4.6
615,16,10,705,10640,0.459,0.356,0.797,15.1,7.9,4.1,0.7,25.8,0.116,-2.2,-0.6
616,17,9,662,16389,0.465,0.25,0.755,24.8,10.0,6.3,1.3,35.9,0.105,-1.1,3.5
617,18,15,858,14278,0.577,0.186,0.604,16.6,7.8,5.2,0.4,42.8,0.144,0.0,7.2
618,19,8,534,11925,0.505,0.0,0.617,22.3,9.5,6.8,0.8,21.9,0.088,-1.8,0.5
619,20,7,293,3905,0.503,0.286,0.797,13.3,5.3,3.9,0.5,7.5,0.093,-2.8,-0.8
620,21,12,649,16769,0.422,0.38,0.854,25.8,12.3,5.3,0.9,46.7,0.134,1.0,12.8
621,22,12,811,21938,0.451,0.388,0.853,27.1,9.6,2.6,1.7,39.3,0.086,-0.6,7.9
622,23,11,686,11271,0.534,0.0,0.582,16.4,5.7,5.0,0.5,28.3,0.12,-1.3,2.0
623,24,14,919,25126,0.513,0.359,0.757,27.3,12.0,7.1,0.8,73.0,0.139,0.5,15.7
624,25,15,981,29472,0.436,0.364,0.833,30.0,10.8,5.1,3.4,66.4,0.108,1.6,26.9
625,26,15,908,24393,0.456,0.379,0.805,26.9,10.5,3.0,3.1,70.6,0.139,1.1,19.3
626,27,9,503,8945,0.444,0.352,0.765,17.8,6.5,3.5,0.8,12.3,0.066,-2.2,-0.4
627,28,4,253,4259,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017,-2.8,-0.9
628,29,6,138,2111,0.507,0.333,0.72,15.3,5.9,3.2,0.6,3.8,0.087,-2.1,0.0
629,30,2,38,247,0.476,0.0,0.565,6.5,1.9,1.4,0.3,0.1,0.027,-4.3,-0.1
630,31,6,271,6744,0.518,0.0,0.76,24.9,12.6,6.7,0.7,18.8,0.134,-0.7,2.2
631,32,1,8,20,0.364,0.0,0.0,2.5,1.0,0.4,0.0,-0.1,-0.131,-10.1,0.0
632,33,4,130,1488,0.534,0.0,0.375,11.4,2.6,3.9,0.4,2.9,0.092,-2.7,-0.3
633,34,9,646,17245,0.417,0.351,0.793,26.7,8.9,2.5,3.7,32.3,0.09,-0.6,5.9
634,35,15,1015,26693,0.675,0.154,0.475,26.3,9.0,10.2,0.9,95.5,0.172,1.2,21.9
635,36,8,471,9216,0.528,0.0,0.551,19.6,5.3,7.1,0.6,20.9,0.109,-1.9,0.1
636,37,12,689,16038,0.454,0.334,0.659,23.3,6.4,4.1,0.9,26.0,0.078,-1.5,2.0
637,38,3,73,1379,0.441,0.353,0.736,18.9,5.0,2.2,1.6,1.5,0.051,-1.1,0.3
638,39,4,183,3335,0.465,0.283,0.702,18.2,6.5,2.2,1.4,0.0,0.001,-4.2,-1.8
639,40,6,222,4381,0.439,0.329,0.831,19.7,7.1,2.1,1.1,5.4,0.059,-2.2,-0.2
640,41,2,45,431,0.435,0.0,0.684,9.6,2.8,2.4,0.5,0.2,0.02,-4.4,-0.3
641,42,1,37,303,0.365,0.4,0.857,8.2,2.4,0.9,0.8,0.0,0.006,-5.1,-0.2
642,43,1,7,19,0.0,0.0,0.75,2.7,0.4,0.3,0.3,-0.1,-0.158,-9.1,0.0
643,44,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,45,15,939,25521,0.459,0.361,0.766,27.2,13.3,3.0,4.7,56.6,0.107,0.5,15.9
645,46,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,47,5,181,3016,0.446,0.369,0.76,16.7,6.0,2.2,0.8,5.0,0.079,-1.8,0.2
647,48,2,62,472,0.512,0.167,0.514,7.6,2.4,1.2,0.5,0.8,0.086,-2.0,0.0
648,49,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,50,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,51,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,52,3,138,1039,0.449,0.235,0.644,7.5,2.2,1.5,0.2,1.3,0.059,-5.2,-0.8
652,53,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,54,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,55,1,51,771,0.412,0.325,0.691,15.1,5.7,1.7,2.1,-0.4,-0.028,-5.2,-0.6
655,56,1,25,95,0.529,0.0,0.455,3.8,0.9,1.0,0.1,0.2,0.096,-2.8,0.0
656,57,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,58,1,2,23,0.3,0.25,1.0,11.5,4.5,2.0,0.5,0.0,0.037,-2.7,0.0
658,59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,60,2,69,928,0.546,0.0,0.594,13.4,3.8,2.8,0.4,1.8,0.094,-3.6,-0.4
660,1,3,105,2028,0.574,0.0,0.658,19.3,8.0,6.2,0.5,7.3,0.174,-0.4,0.8
661,2,15,981,36010,0.499,0.384,0.886,36.7,27.3,7.1,4.3,161.5,0.215,6.8,80.0
662,3,16,1005,32304,0.513,0.373,0.759,32.1,13.5,8.1,3.3,105.7,0.157,2.9,40.0
663,4,16,1013,32264,0.438,0.381,0.82,31.8,14.6,3.0,5.7,90.7,0.135,2.4,35.6
664,5,15,1096,31333,0.45,0.337,0.803,28.6,12.5,4.2,1.5,51.5,0.079,-1.4,4.5
665,6,5,272,6038,0.404,0.333,0.78,22.2,7.9,4.9,0.7,3.1,0.025,-4.3,-3.5
666,7,13,819,18771,0.425,0.284,0.713,22.9,8.7,2.8,1.5,22.5,0.058,-1.6,2.0
667,8,10,428,6949,0.607,0.0,0.674,16.2,7.0,3.6,0.5,26.2,0.181,2.3,7.5
668,9,13,672,18646,0.491,0.0,0.7,27.7,8.8,9.0,2.8,61.9,0.159,2.5,20.9
669,10,10,684,15541,0.457,0.35,0.716,22.7,8.7,5.7,1.9,22.6,0.07,-1.1,3.4
670,11,4,188,2385,0.413,0.235,0.778,12.7,3.9,1.0,1.6,1.6,0.032,-3.9,-1.1
671,12,16,1139,32573,0.503,0.328,0.663,28.6,12.4,5.7,1.8,70.6,0.104,0.5,20.4
672,13,4,231,3049,0.499,0.262,0.584,13.2,3.9,2.3,0.8,3.9,0.061,-0.5,1.2
673,14,4,296,8274,0.452,0.293,0.747,28.0,11.9,4.2,1.2,6.1,0.035,-3.5,-3.2
674,15,10,651,17890,0.423,0.3,0.824,27.5,12.6,2.9,3.6,28.7,0.077,-0.9,4.9
675,16,12,720,16419,0.418,0.376,0.836,22.8,11.4,2.0,1.0,18.6,0.054,-2.2,-0.8
676,17,4,137,1978,0.511,0.0,0.624,14.4,4.2,3.4,0.3,3.0,0.073,-3.1,-0.6
677,18,13,860,19548,0.424,0.376,0.846,22.7,9.7,2.1,1.7,30.5,0.075,-1.3,3.3
678,19,2,113,1853,0.442,0.231,0.638,16.4,5.3,2.4,1.8,0.1,0.002,-4.2,-1.0
679,20,11,616,10029,0.468,0.333,0.783,16.3,6.1,3.4,0.7,14.1,0.067,-2.9,-2.4
680,21,6,328,5993,0.369,0.359,0.813,18.3,6.4,2.1,0.7,4.9,0.039,-2.7,-1.1
681,22,14,904,20117,0.463,0.393,0.732,22.3,7.3,3.2,1.5,43.0,0.103,0.2,11.0
682,23,12,676,20287,0.443,0.341,0.77,30.0,12.5,5.3,1.8,29.0,0.069,-1.3,3.5
683,24,4,249,5965,0.399,0.36,0.84,24.0,9.1,2.4,2.2,14.2,0.114,1.7,5.6
684,25,3,38,361,0.381,0.292,0.743,9.5,3.1,1.2,0.3,0.0,0.005,-6.1,-0.4
685,26,10,645,13439,0.413,0.37,0.837,20.8,9.7,1.7,3.0,19.2,0.069,-1.2,2.7
686,27,11,762,20829,0.45,0.386,0.825,27.3,10.8,2.9,1.8,33.5,0.077,-1.5,2.4
687,28,7,355,6812,0.555,0.143,0.697,19.2,7.9,5.0,1.2,25.3,0.178,1.1,5.4
688,29,3,51,426,0.423,0.294,0.783,8.4,4.1,1.0,0.3,0.4,0.045,-4.5,-0.3
689,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,31,9,513,11524,0.535,0.3,0.785,22.5,10.8,4.9,0.7,35.9,0.149,-0.3,5.0
691,32,2,62,461,0.321,0.283,0.783,7.4,2.0,0.8,0.8,0.4,0.043,-2.8,-0.1
692,33,2,13,39,0.318,0.0,0.0,3.0,1.1,0.9,0.2,-0.1,-0.084,-5.4,0.0
693,34,1,26,269,0.561,0.0,0.682,10.3,4.1,3.4,0.4,0.8,0.148,0.5,0.2
694,35,8,514,10865,0.447,0.182,0.7,21.1,8.0,4.4,0.9,18.6,0.082,-2.6,-1.7
695,36,2,52,433,0.425,0.0,0.578,8.3,3.1,1.8,0.3,0.0,0.0,-5.2,-0.3
696,37,11,433,8271,0.463,0.34,0.705,19.1,5.4,3.9,2.1,18.5,0.107,0.3,4.7
697,38,5,135,1107,0.496,0.0,0.41,8.2,2.3,2.0,0.3,0.9,0.038,-5.7,-1.1
698,39,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,40,1,10,28,0.273,0.0,0.0,2.8,0.6,0.0,0.2,-0.1,-0.226,-19.4,-0.1
700,41,2,70,780,0.483,0.0,0.605,11.1,1.9,2.8,0.4,0.7,0.045,-5.7,-0.7
701,42,1,2,37,0.273,0.0,1.0,18.5,5.0,5.5,0.5,0.1,0.147,-4.7,0.0
702,43,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
703,44,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704,45,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705,46,1,16,303,0.451,0.0,0.594,18.9,5.2,3.3,0.2,0.3,0.041,-4.4,-0.2
706,47,6,342,5348,0.419,0.188,0.658,15.6,2.7,3.4,1.2,4.1,0.037,-2.1,-0.1
707,48,13,891,28719,0.481,0.36,0.776,32.2,14.0,7.4,3.4,85.3,0.143,3.1,36.5
708,49,7,318,3851,0.509,0.0,0.562,12.1,3.4,3.7,0.7,6.2,0.077,-3.6,-1.5
709,50,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710,51,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,52,1,17,74,0.28,0.182,0.917,4.4,1.6,0.6,0.6,-0.1,-0.066,-7.5,-0.1
712,53,2,18,58,0.281,0.2,0.5,3.2,1.2,0.4,0.1,-0.2,-0.203,-10.3,-0.1
713,54,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,55,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,56,11,691,16119,0.434,0.316,0.791,23.3,10.3,2.7,4.1,28.8,0.086,-0.7,5.2
716,57,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718,59,1,33,270,0.315,0.24,0.474,8.2,2.2,0.8,0.9,-0.2,-0.031,-5.6,-0.2
719,60,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,1,10,550,15806,0.439,0.354,0.824,28.7,14.3,4.6,1.2,18.9,0.057,-1.6,1.5
721,2,16,1076,36242,0.493,0.32,0.813,33.7,19.1,8.1,1.9,115.7,0.153,1.7,33.4
722,3,3,161,3278,0.373,0.331,0.71,20.4,7.5,2.1,1.4,-1.4,-0.021,-5.0,-2.4
723,4,8,402,7932,0.438,0.235,0.732,19.7,7.7,4.8,0.9,13.0,0.078,-1.2,1.7
724,5,6,361,5586,0.462,0.222,0.74,15.5,4.5,4.3,0.5,9.9,0.085,-3.0,-1.5
725,6,6,326,11561,0.459,0.348,0.8,35.5,18.8,4.3,4.7,37.4,0.155,3.6,16.3
726,7,11,752,19279,0.401,0.366,0.852,25.6,10.3,2.2,2.8,23.5,0.058,-1.2,3.8
727,8,17,1117,34516,0.452,0.346,0.799,30.9,15.8,5.6,2.0,61.0,0.085,0.6,22.4
728,9,4,90,524,0.494,0.0,0.583,5.8,2.1,1.4,0.3,0.5,0.046,-4.6,-0.3
729,10,3,47,260,0.427,0.0,0.589,5.5,2.2,1.6,0.0,0.3,0.052,-5.1,-0.2
730,11,15,940,23964,0.447,0.415,0.892,25.5,12.8,2.0,2.0,63.7,0.128,0.6,16.0
731,12,6,292,3378,0.501,0.286,0.582,11.6,3.0,2.6,0.3,3.9,0.055,-4.1,-1.8
732,13,14,869,19062,0.449,0.349,0.732,21.9,5.7,3.7,1.4,39.3,0.099,0.6,12.4
733,14,8,502,11539,0.49,0.254,0.675,23.0,7.8,2.8,1.6,30.4,0.127,1.6,10.6
734,15,3,75,705,0.409,0.0,0.39,9.4,2.2,1.9,0.2,0.1,0.005,-5.0,-0.5
735,16,5,299,4600,0.422,0.338,0.704,15.4,5.9,2.0,0.4,6.2,0.064,-1.6,0.5
736,17,7,314,5368,0.403,0.339,0.755,17.1,5.6,3.0,0.7,6.7,0.06,-2.2,-0.3
737,18,3,111,1044,0.386,0.29,0.793,9.4,3.9,2.4,0.2,0.5,0.025,-4.8,-0.7
738,19,3,143,1535,0.389,0.312,0.884,10.7,4.1,1.1,0.7,0.0,0.0,-3.5,-0.6
739,20,6,221,3064,0.51,0.172,0.542,13.9,4.0,3.5,0.6,7.2,0.113,0.1,1.6
740,21,16,957,28570,0.456,0.324,0.611,29.9,9.8,4.5,7.9,61.8,0.104,1.2,23.2
741,22,4,203,3095,0.386,0.321,0.767,15.2,5.6,1.8,2.8,0.0,-0.001,-3.3,-1.0
742,23,4,256,4482,0.544,0.0,0.445,17.5,5.2,4.9,0.5,9.1,0.097,-2.0,0.0
743,24,17,1070,34153,0.424,0.367,0.814,31.9,14.6,4.4,6.3,107.6,0.151,2.9,42.6
744,25,9,408,7329,0.42,0.332,0.807,18.0,7.6,1.9,1.1,9.2,0.06,-1.5,1.0
745,26,10,504,9840,0.423,0.374,0.739,19.5,7.7,1.9,2.9,13.9,0.068,-0.5,3.7
746,27,5,353,5281,0.409,0.337,0.739,15.0,4.9,1.5,3.4,4.3,0.039,-2.0,0.1
747,28,4,82,505,0.339,0.25,0.566,6.2,2.1,0.6,0.2,-0.9,-0.089,-9.4,-0.9
748,29,4,189,2771,0.38,0.299,0.599,14.7,3.9,1.8,1.7,-1.6,-0.027,-4.4,-1.7
749,30,3,151,1821,0.459,0.0,0.728,12.1,3.2,3.4,0.4,3.2,0.084,-3.3,-0.6
750,31,3,67,583,0.438,0.34,0.676,8.7,2.7,1.0,0.5,0.8,0.062,-3.2,-0.2
751,32,11,467,5657,0.437,0.43,0.877,12.1,4.7,1.3,0.3,14.5,0.123,0.8,4.0
752,33,8,281,3092,0.467,0.111,0.717,11.0,3.0,2.3,0.4,5.0,0.078,-4.0,-1.6
753,34,4,82,702,0.402,0.0,0.732,8.6,2.6,1.9,0.4,0.5,0.035,-4.2,-0.4
754,35,12,842,24208,0.425,0.366,0.749,28.8,6.8,5.5,1.4,42.2,0.084,-0.9,6.7
755,36,6,403,6826,0.553,0.037,0.661,16.9,7.6,3.9,0.8,16.0,0.113,-1.2,1.4
756,37,2,91,867,0.442,0.306,0.685,9.5,3.2,1.6,0.5,1.1,0.06,-4.1,-0.5
757,38,1,7,38,0.3,0.0,0.667,5.4,1.4,1.9,0.1,0.0,0.06,-5.9,0.0
758,39,1,68,792,0.367,0.321,0.86,11.6,2.7,1.8,1.0,0.4,0.024,-3.1,-0.2
759,40,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
760,41,2,27,156,0.514,0.0,0.5,5.8,1.6,1.2,0.1,0.3,0.101,-2.7,0.0
761,42,7,397,9316,0.402,0.407,0.78,23.5,7.8,2.0,2.0,16.0,0.082,-1.0,2.4
762,43,2,26,172,0.457,0.421,0.556,6.6,1.9,0.7,0.3,0.2,0.056,-3.0,0.0
763,44,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764,45,2,102,1302,0.517,0.0,0.672,12.8,4.3,2.7,0.3,1.5,0.056,-4.6,-0.9
765,46,2,68,711,0.34,0.25,0.643,10.5,2.1,1.0,1.8,0.1,0.008,-3.0,-0.2
766,47,16,1085,30499,0.489,0.341,0.736,28.1,13.4,7.1,2.2,95.4,0.15,1.9,29.9
767,48,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768,49,5,239,3320,0.515,0.0,0.682,13.9,6.2,3.8,0.3,12.0,0.174,-1.6,0.3
769,50,10,518,6134,0.584,0.0,0.649,11.8,3.7,2.2,0.3,10.4,0.081,-4.1,-3.2
770,51,2,22,114,0.25,0.0,0.444,5.2,1.0,1.4,0.0,-0.1,-0.056,-9.1,-0.2
771,52,1,6,18,0.25,0.0,0.6,3.0,0.8,0.3,0.2,0.0,0.033,-2.9,0.0
